Date,Matchup,Team,Player,Pos,BasePoints,BaseBounds,BaseAssists,BaseSteals,BaseBlocks,Base3PM,BaseMinutes,EnhPoints,EnhRebounds,EnhAssists,EnhMinutes,PointsBoost,HasInjuryAdj,HasEnhancement,HasGameScript,StarTier,Usage,FGPct,IsHome,GamesPlayed,LastUpdated
2025-11-01,SAC @ MIL,SAC,Zach LaVine,PG,29.2,3.0,1.6,0.4,0.2,3.2,36.6,30.7,3.0,1.6,36.6,1.5,N,Y,N,Star,27.6,54.1,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,DeMar DeRozan,PG,19.0,4.4,5.2,1.4,0.2,0.6,36.4,20.5,4.4,5.2,36.4,1.5,N,Y,N,Star,20.0,50.0,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Domantas Sabonis,PF,12.5,13.8,3.3,1.3,0.3,0.5,33.5,14.0,13.8,3.3,33.5,1.5,N,Y,N,Star,19.1,50.0,N,4,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Dennis Schröder,PG,12.4,3.0,6.4,1.6,0.4,1.4,31.5,13.9,3.0,6.4,31.5,1.5,N,Y,N,Star,21.0,41.5,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Malik Monk,SG,15.6,1.2,2.4,1.2,0.8,2.6,25.2,15.6,1.2,2.4,25.2,0.0,N,N,N,Key Role,20.7,54.7,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Russell Westbrook,SG,11.8,4.8,3.8,1.2,0.2,2.0,24.5,13.3,4.8,3.8,24.5,1.5,N,Y,N,Star,22.0,42.0,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Nique Clifford,SG,2.0,8.0,2.0,2.0,1.0,0.0,23.7,2.0,8.0,2.0,23.7,0.0,N,N,N,Key Role,6.9,33.3,N,1,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Keon Ellis,SG,7.8,1.8,0.6,1.8,0.2,1.2,19.6,7.8,1.8,0.6,19.6,0.0,N,N,N,Bench,15.0,48.3,N,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,SAC,Dylan Cardwell,C,1.5,2.0,0.0,1.0,1.5,0.0,13.7,1.5,2.0,0.0,13.7,0.0,N,N,N,Bench,11.0,20.0,N,2,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Giannis Antetokounmpo,PF,36.3,14.0,7.0,0.8,1.3,1.0,32.7,38.3,14.0,7.0,32.7,2.0,N,Y,N,Superstar,35.6,69.5,Y,4,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Ryan Rollins,SG,18.6,3.6,5.0,2.4,0.2,2.4,31.1,20.1,3.6,5.0,31.1,1.5,N,Y,N,Star,21.4,52.4,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Myles Turner,C,10.0,6.8,3.0,0.4,2.2,1.6,29.6,11.5,6.8,3.0,29.6,1.5,N,Y,N,Star,16.8,38.0,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Gary Trent Jr.,SG,13.4,2.2,2.8,1.8,0.0,2.8,28.6,13.4,2.2,2.8,28.6,0.0,N,N,N,Key Role,19.3,39.0,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,AJ Green,SG,11.8,2.4,0.6,0.4,0.0,3.2,28.1,11.8,2.4,0.6,28.1,0.0,N,N,N,Key Role,12.0,59.4,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Kyle Kuzma,SF,8.8,5.0,2.0,1.0,0.8,0.3,24.1,8.8,5.0,2.0,24.1,0.0,N,N,N,Key Role,17.4,48.1,Y,4,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Taurean Prince,SF,8.0,1.4,1.4,1.0,0.4,1.8,22.8,8.0,1.4,1.4,22.8,0.0,N,N,N,Bench,10.8,56.0,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Cole Anthony,PG,13.0,3.3,5.8,0.8,0.8,1.3,21.1,14.5,3.3,5.8,21.1,1.5,N,Y,N,Star,24.6,53.7,Y,4,2025-11-01T05:35:06.354Z
2025-11-01,SAC @ MIL,MIL,Bobby Portis,SF,8.8,5.8,0.8,0.2,0.2,1.2,19.2,8.8,5.8,0.8,19.2,0.0,N,N,N,Key Role,25.0,38.8,Y,5,2025-11-01T05:35:06.354Z
2025-11-01,MIN @ CHA,MIN,Julius Randle,SF,26.6,6.4,5.4,1.2,0.4,2.6,35.1,28.6,6.4,5.4,35.1,2.0,N,Y,N,Superstar,26.1,54.9,N,5,2025-11-01T05:35:06.693Z
2025-11-01,MIN @ CHA,MIN,Jaden McDaniels,PF,18.8,4.4,1.0,0.6,2.0,1.6,33.5,20.3,4.4,1.0,33.5,1.5,N,Y,N,Star,22.6,48.6,N,5,2025-11-01T05:35:06.693Z
2025-11-01,MIN @ CHA,MIN,Rudy Gobert,C,8.6,8.4,1.2,0.2,1.4,0.0,31.7,8.6,8.4,1.2,31.7,0.0,N,N,N,Key Role,10.1,68.0,N,5,2025-11-01T05:35:06.693Z
2025-11-01,MIN @ CHA,MIN,Donte DiVincenzo,SG,12.6,2.6,3.8,1.4,0.4,2.6,30.0,14.1,2.6,3.8,30.0,1.5,N,Y,N,Star,16.2,43.2,N,5,2025-11-01T05:35:06.693Z
2025-11-01,MIN @ CHA,MIN,Anthony Edwards,SG,25.7,4.0,2.0,0.0,0.7,3.0,25.7,27.2,4.0,2.0,25.7,1.5,N,Y,N,Star,34.2,51.9,N,3,2025-11-01T05:35:06.693Z
2025-11-01,MIN @ CHA,MIN,Naz Reid,C,10.0,6.0,1.6,1.0,1.0,1.0,23.1,10.0,6.0,1.6,23.1,0.0,N,N,N,Key Role,20.9,40.4,N,5,2025-11-01T05:35:06.693Z
